library	Nr	group	path
17-025-Villi	1	Early_Villi_C	/data/otp/Preeclampsia_2020/samples/17-025-Villi/
SEKR2-Villi	2	Early_Villi_C	/data/otp/Preeclampsia_2020/samples/SEKR2-Villi/
SOZE1-Villi	3	Early_Villi_C	/data/otp/Preeclampsia_2020/samples/SOZE1-Villi/
17-025-Decidua	4	Early_Decidua_C	/data/otp/Preeclampsia_2020/samples/17-025-Decidua/
SEKR2-Decidua	5	Early_Decidua_C	/data/otp/Preeclampsia_2020/samples/SEKR2-Decidua/
SOZE1-Decidua	6	Early_Decidua_C	/data/otp/Preeclampsia_2020/samples/SOZE1-Decidua/
Term-1	7	Late_Villi_C	/data/otp/Preeclampsia_2020/samples/Term-1/
Term-2	8	Late_Villi_C	/data/otp/Preeclampsia_2020/samples/Term-2/
Term-3	9	Late_Villi_C	/data/otp/Preeclampsia_2020/samples/Term-3/
327-Placenta	10	Late_Villi_C	/data/otp/Preeclampsia_2020/samples/327-Placenta/
328-Placenta	11	Late_Villi_C	/data/otp/Preeclampsia_2020/samples/328-Placenta/
372-Placenta	12	Late_Villi_C	/data/otp/Preeclampsia_2020/samples/372-Placenta/
327-Decidua	13	Late_Decidua_C	/data/otp/Preeclampsia_2020/samples/327-Decidua/
328-Decidua	14	Late_Decidua_C	/data/otp/Preeclampsia_2020/samples/328-Decidua/
372-Decidua	15	Late_Decidua_C	/data/otp/Preeclampsia_2020/samples/372-Decidua/
389-Placenta	16	Late_Villi_PE	/data/otp/Preeclampsia_2020/samples/389-Placenta/
419-Placenta	17	Late_Villi_PE	/data/otp/Preeclampsia_2020/samples/419-Placenta/
577-Placenta_1	18	Late_Villi_PE	/data/otp/Preeclampsia_2020/samples/577-Placenta_1/
577-Placenta_2	19	Late_Villi_PE	/data/otp/Preeclampsia_2020/samples/577-Placenta_2/
389-Decidua	20	Late_Decidua_PE	/data/otp/Preeclampsia_2020/samples/389-Decidua/
419-Decidua	21	Late_Decidua_PE	/data/otp/Preeclampsia_2020/samples/419-Decidua/
274-Decidua	22	Late_Decidua_PE	/data/otp/Preeclampsia_2020/samples/274-Decidua/
